Año;Localidad;Descripción;Categoría;Fuente;Pag;
1854;Departamental;"Se establece la primera línea de transporte regular. Cita: ""...constituyó un verdadero signo de progreso la propuesta para establecer las Mensajerías Regulares Iniciadoras, emprendimiento impulsado 'por dos progresistas españoles, los señores Juan Rusiñol y Joaquín Fillol' (...) La primera línea establecida fue la de Rosario a Córdoba, ciudad a la que se llegaba luego de tres días de viaje (...) a través de un decreto del 8 de junio de 1854""";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;72;
1854;Bustinza;Surgimiento de la primera empresa de mensajerías: Hito: Aparición de la primera empresa pública de carros para transporte de pasajeros y correspondencia.;Huellas del transporte y las comunicaciones;Bustinza y su historia;81;
1856;Bustinza;"Fundación de ""Mensajerías Argentinas"": Hito: Los señores Fillol y Rusiñol firman contrato con la Confederación para el servicio Rosario-Córdoba.";Huellas del transporte y las comunicaciones;Bustinza y su historia;81;
1857;Bustinza;"Introducción de los primeros Molinos de Viento: Hito: Timoteo Gordillo introduce tecnología eólica importada para el equipamiento de las postas del nuevo camino.
Cita: ""A comienzos de 1857 Gordillo emprende viaje a Estados Unidos de donde regresa con... diversos implementos para las postas y tres molinos de viento que son los primeros que se introdujeron en el país...""";Huellas de la energía;Bustinza y su historia;82;
1858;Departamental;"Inicio del proyecto de camino postal directo de Timoteo Gordillo.
Cita: ""...estableció sus servicios de Mensajerías Argentinas, en virtud de un decreto del gobierno de la Confederación Argentina del 5 de julio de ese año""";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;105;"""Solicité del Congreso que me dieran gratis terrenos fiscales entre las Provincias de Santa Fe y Córdoba para hacer un camino postal directo que uniese a Rosario y Córdoba, con estaciones cómodas para los pasajeros de cuatro en cuatro leguas; hacer pozos y represas donde no hubiera agua, levantar fortines para la defensa contra los indios (...) Esto concedido, me puse inmediatamente a la obra, poblando los desiertos"""
1864;Departamental;"Ferrocarril Central Argentino (FCCA). Se registra el arribo de rieles y el avance del tendido.
Cita: ""En octubre de 1864 otro periódico rosarino, El Cosmopolita, informaba que seguían llegando materiales y elementos para el ferrocarril y que ya se habían colocado más de una milla de rieles..."".";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;182;
1864;Bustinza;"Contrato de conservación del Camino Postal: Hito: Registro oficial del contrato para el mantenimiento de la ruta postal. Cita: ""En una Memoria del Ministerio del Interior del año 1864 figura un 'Contrato sobre conservación del Camino Postal del Norte entre Rosario y Córdoba' en donde se puede leer '... las postas de Totoras, Cañada Pareja, Tortugas, Espinillo, etc...'""";Huellas del transporte y las comunicaciones;Bustinza y su historia;83;
1865;Departamental;"Arribo de la locomotora ""Córdoba"" y cruce del río Carcarañá. ..el 18 de octubre de 1865 Wheelwright invitó a unas ochenta personas (...) a participar de un paseo durante el transcurso del cual el tren atravesó, por primera vez, la magnífica obra de ingeniería emplazada sobre el Carcarañá"". Cita (Locomotora): ""...setiembre del mismo año precisaba que la locomotora Córdoba, primera máquina del Central Argentino, a la que un cronista consideró como 'gigantesca, brillante, gallarda en sus apariencias; atrevida y serena en sus movimientos a pesar de su carga inmensa'..."". las obras incluyeron la construcción de un puente de hierro sobre el río Carcarañá en 1864, de ""180 pies de largo y 28 de alto"", diseñado por el ingeniero Allan Campbell.";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;184-185;
1866;Cañada de Gómez;"Apertura de un nuevo camino hacia el norte y oeste.
Cita: ""...una nota publicada por Guillermo Perkins a inicios de 1866 (...) parece avalar las precisiones de este naturalista alemán, ya que puntualiza que los inmigrantes que poblasen los campos (...) gozarían de determinados beneficios y ventajas, lo que permite concluir también que el mismo no solo era 'más corto' sino que además se lo consideraba como a un 'nuevo camino' (...) abierto entre Santa Fe y Córdoba y Santiago""";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;113;
1866;Cañada de Gómez;"Apertura de la línea entre Rosario y Tortugas, pasando por Cañada de Gómez.
Cita: ""Finalmente, el 1° de mayo de 1866 (...) la empresa del Central Argentino dispuso la habilitación de la línea entre Rosario y esa transitoria punta de rieles, que tuvo lugar el 1° de mayo de 1866, día en que el tren se detuvo además en las estaciones de Bernstadt-Roldán, Carcarañá y Cañada de Gómez..."".";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;186;
1866;Bustinza;"1866 - Clausura de la Posta por la llegada del ferrocarril: Hito: La inauguración del tramo ferroviario Rosario-Cañada de Gómez desplaza a las diligencias y provoca el cierre de la posta. Cita: ""...se torna realidad por fin en 1866 en que se inaugura el tramo Rosario—Cañada de Gómez. El tren desplaza a las mensajerías y las diligencias 'Iniciadores'... La Posta de las Totoras entonces entorna sus puertas..."".";Huellas del transporte y las comunicaciones;Bustinza y su historia;89;
1870;Departamental;"El ferrocarril llega finalmente a la ciudad de Córdoba.
Cita: ""Finalmente, el 18 de mayo de 1870 una locomotora del Central Argentino completó la totalidad del camino de hierro entre Rosario y Córdoba"".";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;353;
1876;Correa;"Bomba de agua para locomotoras (Tracción manual):
Hito: Existencia de una bomba de mano para el servicio de las locomotoras a vapor del ferrocarril.";Huellas del transporte y las comunicaciones;Correa, nuestro pueblo;11 y 12;
1879;Cañada de Gómez;"Correo y Telégrafo - Oficina. Creación formal de la oficina local.
Cita: ""...hasta que el 7 de mayo de 1879 se creó la oficina de Correos y Telégrafos, siendo designado como primer jefe Liborio Zeballos, quien permaneció al frente de la misma durante tres lustros""";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 1. Desde los orígenes del desmochado abajo hasta el novecientos;341;
1879;Totoras;"Organización de la Comisión Pro-Templo y Colegio: Este es el hito fundacional donde la comunidad se une para crear sus primeras instituciones.
Cita: ""...en algún momento del año 1879 organizaron la Comisión Pro-Templo y Colegio de Santa Teresa. La creación de la capilla y de la escuela fue la primera obra que unió a los habitantes en un proyecto en común, la primera ocasión que pensaron en función colectiva...""";Huellas de la infraestructura y las  instituciones;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);56;
